"Songname","Artist","Album","Time","Id"
# THIS FILE CONTAINS ALL SONGS IN iTunes
# Aug 29 2014
######################################################
# 			All SONGS
#######################################################
# (1) This file can be very sensitive to errors.
# (2) note, that there is no space after a comma
# (3) all entries are strings except time which is a float
# (4) we need to explicitly write code to ignore the commented lines
#######################################################
# Music by the Jilted Gen, by the Prodigy
"Their Law","The Prodigy","Music For The Jilted Generation",4.41,10
"Break & Enter","The Prodigy","Music For The Jilted Generation",4.03,111
"Full Throttle","The Prodigy","Music For The Jilted Generation",3.17,12
#
# Blood on the Tracks by Bob Dylan
"Buckets of Rain","Bob Dylan","Blood on the Tracks",4.06,13
#
# Everybody in ShowBiz by the Kinks
"Supersonic Rocket Ship","The Kinks","Everybody in Show-biz",3.31,14
"Sophisticated Lady","The Kinks","Everybody in Show-biz",3.28,15
"You Don't Know My Name","The Kinks","Everybody in Show-biz",3.40,16
#
# The Anthology by A Tribe Called Quest
"Electric Relaxation","A Tribe Called Quest","The Anthology",3.19,17
#
# The Wombats, Beautiful People Will Ruin Your Life
"Black Flamingo","The Wombats","Beautiful People Will Ruin Your Life",3.06,20
"Out of My Head","The Wombats","Beautiful People Will Ruin Your Life",4.02,21
#

